λ, нм	n	T	R   Б-SiOAlLi (сто нм)            751
796	1,4534	0,614259187	0,349663728
797	1,4534	0,614014555	0,350401827
798	1,4533	0,61360038	0,351075081
799	1,4533	0,613256203	0,351866112
800	1,4533	0,612856699	0,352561217
801	1,4533	0,612539545	0,353197823
802	1,4533	0,61235306	0,353746636
803	1,4532	0,611887221	0,354479193
804	1,4532	0,611576769	0,355092178
805	1,4532	0,611407079	0,355715114
806	1,4532	0,61131712	0,356268207
807	1,4532	0,610851389	0,356926096
808	1,4532	0,610384446	0,357688225
809	1,4531	0,610233654	0,358142657
810	1,4531	0,60993882	0,358878557
811	1,4531	0,609330715	0,359316367
812	1,4531	0,609337343	0,359809741
813	1,4531	0,608990906	0,360421197
814	1,4531	0,608894914	0,361073479
815	1,4530	0,608373932	0,361596634
816	1,4530	0,607993059	0,362146553
817	1,4530	0,607809625	0,362618598
818	1,4530	0,607563824	0,363057375
819	1,4530	0,607198817	0,363576966
820	1,4530	0,606982675	0,364107333
821	1,4529	0,606610149	0,36453042
822	1,4529	0,606555927	0,364990015
823	1,4529	0,606261502	0,365485071
824	1,4529	0,605765065	0,365867302
825	1,4529	0,605528589	0,366198165
826	1,4529	0,605281647	0,366609231
827	1,4528	0,605041172	0,367022016
828	1,4528	0,604826259	0,36742998
829	1,4528	0,604523255	0,367615725
830	1,4528	0,604091699	0,367996195
831	1,4528	0,603911624	0,368287072
832	1,4528	0,603598447	0,368674869
833	1,4527	0,603343363	0,368859504
834	1,4527	0,603191179	0,369190733
835	1,4527	0,602662386	0,369380528
836	1,4527	0,602654579	0,369652245
837	1,4527	0,60235426	0,369967794
838	1,4527	0,602121273	0,37008549
839	1,4526	0,601839317	0,370389411
840	1,4526	0,601720574	0,370530018
841	1,4526	0,601429958	0,370576488
842	1,4526	0,601144422	0,370829719
843	1,4526	0,600831046	0,371013034
844	1,4526	0,600669504	0,371087486
845	1,4525	0,600614745	0,371079318
846	1,4525	0,600493925	0,37123676
847	1,4525	0,600114335	0,371394226
848	1,4525	0,599940828	0,371427296
849	1,4525	0,599796846	0,37150234
850	1,4525	0,599510284	0,371595642
851	1,4525	0,599264865	0,371569561
852	1,4524	0,599084312	0,371521169
853	1,4524	0,598823517	0,371672428
854	1,4524	0,598787905	0,371606087
855	1,4524	0,59852474	0,371587412
856	1,4524	0,598419601	0,371668019
857	1,4524	0,598114562	0,371522911
858	1,4523	0,597763075	0,371528421
859	1,4523	0,597815978	0,371486569
860	1,4523	0,597518136	0,37147666
861	1,4523	0,597174131	0,371431021
862	1,4523	0,597179682	0,371390979
863	1,4523	0,596667075	0,371213668
864	1,4522	0,596558415	0,371218183
865	1,4522	0,596412737	0,371014785
866	1,4522	0,596227021	0,370899717
867	1,4522	0,596086102	0,370784005
868	1,4522	0,595835606	0,37086293
869	1,4522	0,595688075	0,370713352
870	1,4521	0,595153271	0,370582908
871	1,4521	0,595039393	0,370278555
872	1,4521	0,595114079	0,370089107
873	1,4521	0,594850675	0,369994282
874	1,4521	0,594692527	0,369901295
875	1,4521	0,594562334	0,369848233
876	1,4521	0,594430856	0,370546796
877	1,4520	0,594128145	0,370680971
878	1,4520	0,593911268	0,370801037
879	1,4520	0,593942467	0,371196052
880	1,4520	0,593824967	0,371160752
881	1,4520	0,59362836	0,371304718
882	1,4520	0,593508934	0,37122347
883	1,4519	0,593457776	0,371728209
884	1,4519	0,59341541	0,371451102
885	1,4519	0,593070833	0,37124031
886	1,4519	0,593064987	0,371092385
887	1,4519	0,592964122	0,370910665
888	1,4519	0,592874258	0,370885732
889	1,4519	0,592499332	0,370808501
890	1,4518	0,592371473	0,370660339
891	1,4518	0,59214882	0,370412331
892	1,4518	0,592092469	0,370117819
893	1,4518	0,592031317	0,370004083
894	1,4518	0,59202157	0,369799681
895	1,4518	0,591908684	0,369635748
896	1,4518	0,591508089	0,369365355
897	1,4517	0,591568684	0,369178497
898	1,4517	0,591473247	0,368872876
899	1,4517	0,591244243	0,368702868
900	1,4517	0,591244751	0,368479129
901	1,4517	0,59107991	0,36834076
902	1,4517	0,590967988	0,368075991
903	1,4516	0,590985608	0,367781876
904	1,4516	0,590881941	0,367534441
905	1,4516	0,590808533	0,367285218
906	1,4516	0,590769494	0,367426697
907	1,4516	0,590658746	0,367296003
908	1,4516	0,590503081	0,367061876
909	1,4516	0,590378875	0,367401958
910	1,4515	0,590298877	0,36752377
911	1,4515	0,590238839	0,367489796
912	1,4515	0,590050967	0,365408323
913	1,4515	0,590080759	0,365250582
914	1,4515	0,590045553	0,365086285
915	1,4515	0,589786481	0,364800959
916	1,4515	0,58967339	0,364449529
917	1,4514	0,589733386	0,364240884
918	1,4514	0,58975356	0,364124797
919	1,4514	0,58958959	0,363899488
920	1,4514	0,589603661	0,363638283
921	1,4514	0,589341625	0,363395129
922	1,4514	0,589379969	0,363108937
923	1,4514	0,589325544	0,362904021
924	1,4513	0,589230152	0,36255712
925	1,4513	0,589139366	0,362355902
926	1,4513	0,589050071	0,362192561
927	1,4513	0,588965723	0,361982489
928	1,4513	0,588991449	0,361736444
929	1,4513	0,58884614	0,361501608
930	1,4512	0,588891707	0,361331252
931	1,4512	0,588831773	0,361163957
932	1,4512	0,588759222	0,360988949
933	1,4512	0,588615438	0,3607173
934	1,4512	0,588806424	0,360662483
935	1,4512	0,588726441	0,36266011
936	1,4512	0,588494652	0,363262846
937	1,4512	0,58845721	0,36316095
938	1,4511	0,588762192	0,363144535
939	1,4511	0,588652139	0,363158387
940	1,4511	0,588558697	0,363042649
941	1,4511	0,588402662	0,362805668
942	1,4511	0,588336287	0,362549542
943	1,4511	0,58830336	0,362352867
944	1,4511	0,588642335	0,362247241
945	1,4510	0,588322171	0,361902438
946	1,4510	0,588449981	0,361796093
947	1,4510	0,588138939	0,361422307
948	1,4510	0,588473898	0,361324936
949	1,4510	0,588169184	0,361002281
950	1,4510	0,588608158	0,36094882
951	1,4510	0,588420037	0,360532589
952	1,4509	0,588567517	0,360597504
953	1,4509	0,588421182	0,36101223
954	1,4509	0,588602569	0,361617653
955	1,4509	0,588515993	0,359971992
956	1,4509	0,588591984	0,359699571
957	1,4509	0,588588856	0,359493166
958	1,4509	0,588759589	0,359258961
959	1,4508	0,588731717	0,359063309
960	1,4508	0,588794941	0,358888716
961	1,4508	0,588771408	0,358641282
962	1,4508	0,588883297	0,358415789
963	1,4508	0,588917277	0,358197443
964	1,4508	0,588800044	0,35803005
965	1,4508	0,589097966	0,357823495
966	1,4507	0,589060601	0,357592609
967	1,4507	0,589135686	0,357420172
968	1,4507	0,589254065	0,357127186
969	1,4507	0,58930708	0,356941515
970	1,4507	0,589354626	0,356750775
971	1,4507	0,589286971	0,356548812
972	1,4507	0,589404862	0,356356723
973	1,4507	0,589461974	0,358421567
974	1,4506	0,589599898	0,358503042
975	1,4506	0,589583244	0,358541305
976	1,4506	0,589684974	0,358878386
977	1,4506	0,58960852	0,358701664
978	1,4506	0,589878543	0,358516674
979	1,4506	0,590094278	0,358200252
980	1,4506	0,58998942	0,358104598
981	1,4505	0,589923151	0,357835224
982	1,4505	0,59017324	0,357623387
983	1,4505	0,590204275	0,357339964
984	1,4505	0,590438063	0,358277983
985	1,4505	0,590521121	0,358119603
986	1,4505	0,590664896	0,357853044
987	1,4505	0,59075479	0,357611697
988	1,4505	0,590781226	0,357368371
989	1,4504	0,59075618	0,35703673
990	1,4504	0,590617541	0,356934324
991	1,4504	0,59064507	0,356650106
992	1,4504	0,590786578	0,356503901
993	1,4504	0,590522361	0,356274035
994	1,4504	0,590634701	0,35608791
995	1,4504	0,590689715	0,355880845
996	1,4504	0,590818716	0,355630564
997	1,4503	0,590919956	0,355441485
998	1,4503	0,591378893	0,355361425
999	1,4503	0,591456918	0,355311643
1000	1,4503	0,591755975	0,355154416
1001	1,4503	0,591895469	0,354978763
1002	1,4503	0,592181467	0,354896645
1003	1,4503	0,592231527	0,354748859
1004	1,4502	0,592355424	0,35463818
1005	1,4502	0,592526932	0,354612819
1006	1,4502	0,592718803	0,354430241
1007	1,4502	0,592714211	0,354318418
1008	1,4502	0,592973351	0,354197182
1009	1,4502	0,59302758	0,354130593
1010	1,4502	0,593152794	0,354065958
1011	1,4502	0,593459845	0,353939497
1012	1,4501	0,593640915	0,353817462
1013	1,4501	0,593712626	0,35364158
1014	1,4501	0,593928421	0,353558741
1015	1,4501	0,594186462	0,353530627
1016	1,4501	0,594419341	0,353453689
1017	1,4501	0,594482331	0,353301581
1018	1,4501	0,594502597	0,353169327
1019	1,4501	0,594757409	0,353044597
1020	1,4500	0,595075933	0,35291615
1021	1,4500	0,595278525	0,352832486
1022	1,4500	0,595554438	0,352658477
1023	1,4500	0,595571911	0,352544356
1024	1,4500	0,595570323	0,352320116
1025	1,4500	0,595550749	0,352213668
1026	1,4500	0,59589827	0,351994966
1027	1,4500	0,595838178	0,351939573
1028	1,4500	0,595998257	0,351742552
1029	1,4499	0,596093516	0,351607958
1030	1,4499	0,596107577	0,351434356
1031	1,4499	0,596274572	0,351248211
1032	1,4499	0,596309549	0,35110081
1033	1,4499	0,596309112	0,350928847
1034	1,4499	0,596535496	0,350768128
1035	1,4499	0,596550844	0,350601977
1036	1,4499	0,596962534	0,350502153
1037	1,4498	0,59695797	0,350422064
1038	1,4498	0,59678825	0,350190983
1039	1,4498	0,596634642	0,350078059
1040	1,4498	0,596877442	0,349807041
1041	1,4498	0,597012251	0,34971301
1042	1,4498	0,597290346	0,349616664
1043	1,4498	0,597267076	0,349525624
1044	1,4498	0,597560136	0,349407366
